USNEWS Ranking,School,No. of Faculty ,1,2,3,4,5,6,7,8,9,10,11,12,Total
1,CMU,12,71,56,50,49,44,37,29,23,21,17,13,8,100
29,UCI,10,49,35,34,33,33,30,28,17,16,15,,,69.37799043
1,MIT,7,47,40,31,30,29,27,19,,,,,,53.3492823
1,Stanford,6,57,49,45,39,31,22,,,,,,,58.13397129
5,UIUC,6,50,43,41,39,28,20,,,,,,,52.8708134
9,GaTech,5,39,38,34,27,19,,,,,,,,37.55980861
11,UWM,3,67,58,26,,,,,,,,,,36.12440191
15,UCSD,5,39,34,26,20,28,19,,,,,,,39.71291866
15,UMCP,5,42,41,34,32,30,11,,,,,,,45.45454545
48,NCSU,7,45,44,37,17,14,13,5,,,,,,41.86602871
