symbol,date,price
MSFT,Jan-00,39.81
MSFT,Feb-00,36.35
MSFT,Mar-00,43.22
MSFT,Apr-00,28.37
MSFT,May-00,25.45
MSFT,Jun-00,32.54
MSFT,Jul-00,28.4
MSFT,Aug-00,28.4
MSFT,Sep-00,24.53
MSFT,Oct-00,28.02
MSFT,Nov-00,23.34
MSFT,Dec-00,17.65
MSFT,1-Jan,24.84
MSFT,1-Feb,24
MSFT,1-Mar,22.25
MSFT,1-Apr,27.56
MSFT,1-May,28.14
MSFT,1-Jun,29.7
MSFT,1-Jul,26.93
MSFT,1-Aug,23.21
MSFT,1-Sep,20.82
MSFT,1-Oct,23.65
MSFT,1-Nov,26.12
MSFT,1-Dec,26.95
MSFT,2-Jan,25.92
MSFT,2-Feb,23.73
MSFT,2-Mar,24.53
MSFT,2-Apr,21.26
MSFT,2-May,20.71
MSFT,2-Jun,22.25
MSFT,2-Jul,19.52
MSFT,2-Aug,19.97
MSFT,2-Sep,17.79
MSFT,2-Oct,21.75
MSFT,2-Nov,23.46
MSFT,2-Dec,21.03
MSFT,3-Jan,19.31
MSFT,3-Feb,19.34
MSFT,3-Mar,19.76
MSFT,3-Apr,20.87
MSFT,3-May,20.09
MSFT,3-Jun,20.93
MSFT,3-Jul,21.56
MSFT,3-Aug,21.65
MSFT,3-Sep,22.69
MSFT,3-Oct,21.45
MSFT,3-Nov,21.1
MSFT,3-Dec,22.46
MSFT,4-Jan,22.69
MSFT,4-Feb,21.77
MSFT,4-Mar,20.46
MSFT,4-Apr,21.45
MSFT,4-May,21.53
MSFT,4-Jun,23.44
MSFT,4-Jul,23.38
MSFT,4-Aug,22.47
MSFT,4-Sep,22.76
MSFT,4-Oct,23.02
MSFT,4-Nov,24.6
MSFT,4-Dec,24.52
MSFT,5-Jan,24.11
MSFT,5-Feb,23.15
MSFT,5-Mar,22.24
MSFT,5-Apr,23.28
MSFT,5-May,23.82
MSFT,5-Jun,22.93
MSFT,5-Jul,23.64
MSFT,5-Aug,25.35
MSFT,5-Sep,23.83
MSFT,5-Oct,23.8
MSFT,5-Nov,25.71
MSFT,5-Dec,24.29
MSFT,6-Jan,26.14
MSFT,6-Feb,25.04
MSFT,6-Mar,25.36
MSFT,6-Apr,22.5
MSFT,6-May,21.19
MSFT,6-Jun,21.8
MSFT,6-Jul,22.51
MSFT,6-Aug,24.13
MSFT,6-Sep,25.68
MSFT,6-Oct,26.96
MSFT,6-Nov,27.66
MSFT,6-Dec,28.13
MSFT,7-Jan,29.07
MSFT,7-Feb,26.63
MSFT,7-Mar,26.35
MSFT,7-Apr,28.3
MSFT,7-May,29.11
MSFT,7-Jun,27.95
MSFT,7-Jul,27.5
MSFT,7-Aug,27.34
MSFT,7-Sep,28.04
MSFT,7-Oct,35.03
MSFT,7-Nov,32.09
MSFT,7-Dec,34
MSFT,8-Jan,31.13
MSFT,8-Feb,26.07
MSFT,8-Mar,27.21
MSFT,8-Apr,27.34
MSFT,8-May,27.25
MSFT,8-Jun,26.47
MSFT,8-Jul,24.75
MSFT,8-Aug,26.36
MSFT,8-Sep,25.78
MSFT,8-Oct,21.57
MSFT,8-Nov,19.66
MSFT,8-Dec,18.91
MSFT,9-Jan,16.63
MSFT,9-Feb,15.81
MSFT,9-Mar,17.99
MSFT,9-Apr,19.84
MSFT,9-May,20.59
MSFT,9-Jun,23.42
MSFT,9-Jul,23.18
MSFT,9-Aug,24.43
MSFT,9-Sep,25.49
MSFT,9-Oct,27.48
MSFT,9-Nov,29.27
MSFT,9-Dec,30.34
MSFT,10-Jan,28.05
MSFT,10-Feb,28.67
MSFT,10-Mar,28.8
AMZN,Jan-00,64.56
AMZN,Feb-00,68.87
AMZN,Mar-00,67
AMZN,Apr-00,55.19
AMZN,May-00,48.31
AMZN,Jun-00,36.31
AMZN,Jul-00,30.12
AMZN,Aug-00,41.5
AMZN,Sep-00,38.44
AMZN,Oct-00,36.62
AMZN,Nov-00,24.69
AMZN,Dec-00,15.56
AMZN,1-Jan,17.31
AMZN,1-Feb,10.19
AMZN,1-Mar,10.23
AMZN,1-Apr,15.78
AMZN,1-May,16.69
AMZN,1-Jun,14.15
AMZN,1-Jul,12.49
AMZN,1-Aug,8.94
AMZN,1-Sep,5.97
AMZN,1-Oct,6.98
AMZN,1-Nov,11.32
AMZN,1-Dec,10.82
AMZN,2-Jan,14.19
AMZN,2-Feb,14.1
AMZN,2-Mar,14.3
AMZN,2-Apr,16.69
AMZN,2-May,18.23
AMZN,2-Jun,16.25
AMZN,2-Jul,14.45
AMZN,2-Aug,14.94
AMZN,2-Sep,15.93
AMZN,2-Oct,19.36
AMZN,2-Nov,23.35
AMZN,2-Dec,18.89
AMZN,3-Jan,21.85
AMZN,3-Feb,22.01
AMZN,3-Mar,26.03
AMZN,3-Apr,28.69
AMZN,3-May,35.89
AMZN,3-Jun,36.32
AMZN,3-Jul,41.64
AMZN,3-Aug,46.32
AMZN,3-Sep,48.43
AMZN,3-Oct,54.43
AMZN,3-Nov,53.97
AMZN,3-Dec,52.62
AMZN,4-Jan,50.4
AMZN,4-Feb,43.01
AMZN,4-Mar,43.28
AMZN,4-Apr,43.6
AMZN,4-May,48.5
AMZN,4-Jun,54.4
AMZN,4-Jul,38.92
AMZN,4-Aug,38.14
AMZN,4-Sep,40.86
AMZN,4-Oct,34.13
AMZN,4-Nov,39.68
AMZN,4-Dec,44.29
AMZN,5-Jan,43.22
AMZN,5-Feb,35.18
AMZN,5-Mar,34.27
AMZN,5-Apr,32.36
AMZN,5-May,35.51
AMZN,5-Jun,33.09
AMZN,5-Jul,45.15
AMZN,5-Aug,42.7
AMZN,5-Sep,45.3
AMZN,5-Oct,39.86
AMZN,5-Nov,48.46
AMZN,5-Dec,47.15
AMZN,6-Jan,44.82
AMZN,6-Feb,37.44
AMZN,6-Mar,36.53
AMZN,6-Apr,35.21
AMZN,6-May,34.61
AMZN,6-Jun,38.68
AMZN,6-Jul,26.89
AMZN,6-Aug,30.83
AMZN,6-Sep,32.12
AMZN,6-Oct,38.09
AMZN,6-Nov,40.34
AMZN,6-Dec,39.46
AMZN,7-Jan,37.67
AMZN,7-Feb,39.14
AMZN,7-Mar,39.79
AMZN,7-Apr,61.33
AMZN,7-May,69.14
AMZN,7-Jun,68.41
AMZN,7-Jul,78.54
AMZN,7-Aug,79.91
AMZN,7-Sep,93.15
AMZN,7-Oct,89.15
AMZN,7-Nov,90.56
AMZN,7-Dec,92.64
AMZN,8-Jan,77.7
AMZN,8-Feb,64.47
AMZN,8-Mar,71.3
AMZN,8-Apr,78.63
AMZN,8-May,81.62
AMZN,8-Jun,73.33
AMZN,8-Jul,76.34
AMZN,8-Aug,80.81
AMZN,8-Sep,72.76
AMZN,8-Oct,57.24
AMZN,8-Nov,42.7
