Timestamp,time band,Unix timestamp,weekday/weedend ,activity level,activity,step count,lat,lon,place name,place category,place short name,num of apps,media usage,light,num of photos,sound setting
20150121_136,1,1.42E+12,0,0,{standing still=1},0,33.643627,-117.84131,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,14.5,0,0
20150121_143,1,1.42E+12,0,0,{standing still=1},0,33.643642,-117.84133,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,70.11627907,0,0
20150121_144,1,1.42E+12,0,1,{tiliting=2| Unknown=4},78,33.64365,-117.841324,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,3,0,126.5255172,0,0
20150121_145,2,1.42E+12,0,1.333333373,{standing still=1| tiliting=2| walking=3},299,33.643974,-117.84151,ICS2 136 | Integrated Nanosystems Research Facility (INRF) | Engineering Hall (EH),education | education | education,Classroom | Science | Engineering,1,0,0.322580645,0,0
20150121_146,2,1.42E+12,0,2,{walking=5},214,33.646088,-117.84356,AGS Coffee Cart | Subway | BC's Cavern,food | food | education,Food Truck | Sandwiches | Cafeteria,1,0,0.272151899,0,0
20150121_159,2,1.42E+12,0,0,{standing still=1},0,33.643635,-117.841324,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,99.66666667,0,0
20150121_160,2,1.42E+12,0,0,{standing still=5},0,33.643646,-117.841324,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,104.5652174,0,0
20150121_163,2,1.42E+12,0,1.333333373,{tiliting=2| Unknown=2| walking=2},260,33.64798,-117.84137,Fluff Ice | UCI Vendor Fair | Flagpoles @ UCI,food | shops | parks_outdoors,Food Truck | Flea Market | Plaza,5,0,45.73357664,0,0
20150121_164,2,1.42E+12,0,1.777777791,{in vehicle=2| tiliting=4| walking=1| Unknown=2},80,33.64819,-117.841484,Fluff Ice | UCI Vendor Fair | The Hillside Study Lounge,food | shops | education,Food Truck | Flea Market | Cafeteria,3,0,17.48319328,0,0
20150121_165,2,1.42E+12,0,0.428571433,{standing still=4| tiliting=2| Unknown=1},0,33.648186,-117.841515,Fluff Ice | UCI Vendor Fair | The Hillside Study Lounge,food | shops | education,Food Truck | Flea Market | Cafeteria,2,0,39.73267327,0,0
20150121_166,2,1.42E+12,0,1,{standing still=1| Unknown=1| walking=1},274,33.647865,-117.84183,APSA Office Room | Cross-Cultural Center (CCC) | Black Student Union Office,education | education | education,Education | Administrative Building | Education,1,0,0.207236842,0,0
20150121_167,2,1.42E+12,0,1.799999952,{Unknown=1| walking=4},455,33.645493,-117.84077,Einstein Bros Bagels | Phoenix Food Court | Einstein,food | shops | food,Bagels | Food Court | Bagels,1,0,0.19138756,0,0
20150121_168,2,1.42E+12,0,1.600000024,{tiliting=1| Unknown=1| walking=3},478,33.64365,-117.841354,DAT Lab | UCI IEEE Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,0.3828125,0,0
20150121_169,2,1.42E+12,0,0.166666672,{standing still=5| tiliting=1},0,33.64364,-117.84133,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,4,0,83.31386861,0,0
20150121_170,2,1.42E+12,0,0.142857149,{standing still=6| tiliting=1},0,33.64365,-117.84136,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,162,0,0
20150121_171,2,1.42E+12,0,0.444444448,{standing still=5| tiliting=4},0,33.643665,-117.84138,DAT Lab | UCI IEEE Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,66.04255319,0,0
20150121_172,2,1.42E+12,0,0,{standing still=4},0,33.643642,-117.84139,DAT Lab | UCI IEEE Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,99.76470588,0,0
20150121_173,2,1.42E+12,0,0,{standing still=3},0,33.643642,-117.841354,UCI IEEE Lab | DAT Lab | Java City Kiosk,education | education | food,Lab | Lab | Caf̩,1,0,204,0,0
20150121_174,2,1.42E+12,0,1.142857194,{standing still=1| tiliting=4| walking=2},213,33.643517,-117.841934,DBH 6011 | Mac Lab (ICS2) | DBH 1433 Classrom,building | education | education,Auditorium | Technology | Classroom,2,0,139.888587,0,0
